Created on 03-09-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-06 06-AM,BCHUSD,1250,1254.85,1247.03,1250.6,10.06,12575.26
2018-03-06 05-AM,BCHUSD,1253,1253,1246.09,1250,104.91,131139.79
2018-03-06 04-AM,BCHUSD,1240,1255.07,1240,1253,63.63,79394.22
2018-03-06 03-AM,BCHUSD,1238.18,1245.6,1235.79,1240,50.46,62555.19
2018-03-06 02-AM,BCHUSD,1242.29,1245.6,1238.18,1238.18,67.58,83850.59
2018-03-06 01-AM,BCHUSD,1244,1246.73,1232.79,1242.29,60.67,75383.35
2018-03-06 12-AM,BCHUSD,1260,1267.69,1240,1244,128.57,160076.99
2018-03-05 11-PM,BCHUSD,1272,1276.85,1260,1260,15.42,19552.53
2018-03-05 10-PM,BCHUSD,1272,1277.64,1272,1272,2.13,2712.16
2018-03-05 09-PM,BCHUSD,1273.14,1278,1272,1272,8.73,11109.49
2018-03-05 08-PM,BCHUSD,1276.4,1286,1273.14,1273.14,56.95,73076.73
2018-03-05 07-PM,BCHUSD,1280.25,1286,1276.4,1276.4,47.28,60577.18
2018-03-05 06-PM,BCHUSD,1265.39,1286,1264.2,1280.25,50.04,64134.84
2018-03-05 05-PM,BCHUSD,1268.26,1276.5,1265.39,1265.39,13.54,17180.7
2018-03-05 04-PM,BCHUSD,1272.6,1278.13,1268.26,1268.26,16.28,20705.11
2018-03-05 03-PM,BCHUSD,1273,1275.82,1272.6,1272.6,15.05,19163.83
2018-03-05 02-PM,BCHUSD,1285.5,1285.5,1272.81,1273,18.37,23441.83
2018-03-05 01-PM,BCHUSD,1286,1286,1276.65,1285.5,4.34,5547.9
2018-03-05 12-PM,BCHUSD,1284.49,1286,1276.65,1286,7.65,9813.81
2018-03-05 11-AM,BCHUSD,1272,1284.49,1271.3,1284.49,4.16,5301.9
2018-03-05 10-AM,BCHUSD,1274.1,1282.78,1270.75,1272,28.79,36811.12
2018-03-05 09-AM,BCHUSD,1272.21,1280,1272.21,1274.1,11.16,14271.52
2018-03-05 08-AM,BCHUSD,1286.4,1286.4,1272.21,1272.21,57.11,73060.33
2018-03-05 07-AM,BCHUSD,1275.1,1286.64,1275.1,1286.4,17.57,22525.23
2018-03-05 06-AM,BCHUSD,1275.1,1283.39,1275.1,1275.1,9.74,12494.52
2018-03-05 05-AM,BCHUSD,1280.21,1284.8,1275.1,1275.1,15.32,19611.84
2018-03-05 04-AM,BCHUSD,1284.06,1291,1280.21,1280.21,30.75,39604.87
2018-03-05 03-AM,BCHUSD,1290,1291.9,1284.06,1284.06,9.58,12324.33
2018-03-05 02-AM,BCHUSD,1277.62,1291.91,1277.62,1290,54.48,70199.8
2018-03-05 01-AM,BCHUSD,1279.7,1286.95,1275.4,1277.62,18.56,23819.76
2018-03-05 12-AM,BCHUSD,1291.25,1291.25,1273.95,1279.7,70.89,90467.63
2018-03-04 11-PM,BCHUSD,1274,1291.25,1274,1291.25,93.27,119710.08
2018-03-04 10-PM,BCHUSD,1268.3,1280,1268.3,1274,4.54,5789.92
2018-03-04 09-PM,BCHUSD,1274.17,1279,1268.3,1268.3,5.27,6710.8
2018-03-04 08-PM,BCHUSD,1279.38,1280,1266.59,1274.17,13.09,16706.55
2018-03-04 07-PM,BCHUSD,1267.46,1279.8,1262.91,1279.38,17.65,22496.51
2018-03-04 06-PM,BCHUSD,1247.28,1271.22,1247.28,1267.46,11.44,14488.02
2018-03-04 05-PM,BCHUSD,1242,1247.28,1242,1247.28,12.27,15294.14
2018-03-04 04-PM,BCHUSD,1247.29,1247.29,1239.55,1242,5.97,7401.36
2018-03-04 03-PM,BCHUSD,1242.63,1247.33,1237,1247.29,17.13,21214.12
2018-03-04 02-PM,BCHUSD,1250,1252.98,1242.63,1242.63,2.94,3669.99
2018-03-04 01-PM,BCHUSD,1248.61,1252.98,1244,1250,1.16,1453.97
2018-03-04 12-PM,BCHUSD,1245,1248.61,1230.33,1248.61,3.97,4943.81
2018-03-04 11-AM,BCHUSD,1239.92,1245,1228.48,1245,10.81,13344.19
2018-03-04 10-AM,BCHUSD,1256.28,1256.98,1216.57,1239.92,140.66,172663.01
2018-03-04 09-AM,BCHUSD,1243.92,1256.28,1235.47,1256.28,26.95,33594.64
2018-03-04 08-AM,BCHUSD,1225,1244.5,1225,1243.92,17.79,21995.85
2018-03-04 07-AM,BCHUSD,1235,1241.4,1218.63,1225,27.6,33779.35
2018-03-04 06-AM,BCHUSD,1247,1247,1230.4,1235,14.78,18256.57
2018-03-04 05-AM,BCHUSD,1240,1247,1238.77,1247,9.08,11268.44
2018-03-04 04-AM,BCHUSD,1241.47,1247,1234.41,1240,24.22,30171.96
2018-03-04 03-AM,BCHUSD,1248.57,1255,1232.9,1241.47,66.27,82730.64
2018-03-04 02-AM,BCHUSD,1278,1278,1248.57,1248.57,42.12,52833.03
2018-03-04 01-AM,BCHUSD,1269.57,1279.48,1260.7,1278,19.89,25260.67
2018-03-04 12-AM,BCHUSD,1261.39,1271.18,1261.39,1269.57,9.83,12463.91
2018-03-03 11-PM,BCHUSD,1260.69,1269.71,1260,1261.39,9.07,11438.33
2018-03-03 10-PM,BCHUSD,1254.61,1269.71,1250.45,1260.69,14.44,18185.42
2018-03-03 09-PM,BCHUSD,1270.2,1273.77,1246.28,1254.61,161.7,202300.89
2018-03-03 08-PM,BCHUSD,1276,1282,1270.2,1270.2,39.32,50074.53
2018-03-03 07-PM,BCHUSD,1284.98,1284.98,1275,1276,7.09,9062.88
2018-03-03 06-PM,BCHUSD,1280.1,1290.6,1275,1284.98,10.94,14030.7
2018-03-03 05-PM,BCHUSD,1278.65,1283.5,1278.65,1280.1,2.77,3548.04
2018-03-03 04-PM,BCHUSD,1278.21,1283.8,1272,1278.65,7.17,9173.45
2018-03-03 03-PM,BCHUSD,1279,1280,1270.2,1278.21,27.52,35052.82
2018-03-03 02-PM,BCHUSD,1289.3,1291,1276.41,1279,47.35,60963.42
2018-03-03 01-PM,BCHUSD,1285,1295,1283.01,1289.3,53.46,68990.1
2018-03-03 12-PM,BCHUSD,1276,1288,1271,1285,13.49,17279.02
2018-03-03 11-AM,BCHUSD,1278,1278.2,1271,1276,7.58,9656.72
2018-03-03 10-AM,BCHUSD,1272,1278.2,1272,1278,3.7,4720.31
2018-03-03 09-AM,BCHUSD,1280,1282.85,1270.1,1272,110.56,141489.99
2018-03-03 08-AM,BCHUSD,1284.71,1284.71,1270.1,1280,5.58,7131.85
2018-03-03 07-AM,BCHUSD,1279.35,1284.71,1277.85,1284.71,14.74,18895.6
2018-03-03 06-AM,BCHUSD,1289,1289,1279.35,1279.35,22.61,29043.04
2018-03-03 05-AM,BCHUSD,1293,1298.56,1283.64,1289,8.25,10641.05
2018-03-03 04-AM,BCHUSD,1295,1299,1290,1293,34.03,44101.1
2018-03-03 03-AM,BCHUSD,1290.72,1296,1285,1295,18.62,24045.35
2018-03-03 02-AM,BCHUSD,1282.75,1296.37,1282.45,1290.72,207.76,268438.15
2018-03-03 01-AM,BCHUSD,1277.49,1293.15,1270.11,1282.75,66.18,85365.2
2018-03-03 12-AM,BCHUSD,1273.79,1280.6,1269,1277.49,24.43,31203.95
2018-03-02 11-PM,BCHUSD,1286.63,1289.99,1270.12,1273.79,10.21,13069.0
2018-03-02 10-PM,BCHUSD,1278.98,1289.15,1276.43,1286.63,2.02,2583.73
2018-03-02 09-PM,BCHUSD,1285.64,1290.78,1274.18,1278.98,10.58,13565.36
2018-03-02 08-PM,BCHUSD,1279.78,1293.4,1275,1285.64,34.51,44396.87
2018-03-02 07-PM,BCHUSD,1280,1282,1274.88,1279.78,79.4,101619.32
2018-03-02 06-PM,BCHUSD,1266.04,1280,1265,1280,104.94,133451.76
2018-03-02 05-PM,BCHUSD,1256.45,1267.85,1256.45,1266.04,75.25,95156.73
2018-03-02 04-PM,BCHUSD,1254.7,1261.33,1251.72,1256.45,22.51,28258.75
2018-03-02 03-PM,BCHUSD,1260,1263.53,1252.97,1254.7,22.23,27935.16
2018-03-02 02-PM,BCHUSD,1273.8,1276.45,1260,1260,129.38,163164.74
2018-03-02 01-PM,BCHUSD,1279.73,1280.01,1270,1273.8,146.88,186574.82
2018-03-02 12-PM,BCHUSD,1274.01,1279.73,1271.39,1279.73,3.93,5015.67
2018-03-02 11-AM,BCHUSD,1266.24,1278.29,1266.24,1274.01,168.04,213457.59
2018-03-02 10-AM,BCHUSD,1266,1273.07,1259,1266.24,28.7,36338.68
