Created on 03-09-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-06 03-AM,ETHUSD,843.78,845.51,840,845.51,386.74,326026.61
2018-03-06 02-AM,ETHUSD,842.57,845.23,840.8,843.78,430.29,362263.64
2018-03-06 01-AM,ETHUSD,840.2,843.37,838.65,842.57,969.02,814067.39
2018-03-06 12-AM,ETHUSD,848,848.39,840.01,840.2,1305.56,1102334.98
2018-03-05 11-PM,ETHUSD,854.51,854.51,848,848,414.28,351911.51
2018-03-05 10-PM,ETHUSD,855.18,855.59,851.36,854.51,132.7,113269.01
2018-03-05 09-PM,ETHUSD,853.65,855.18,851.11,855.18,313.88,267649.93
2018-03-05 08-PM,ETHUSD,855.91,858.59,851,853.65,511.56,437009.04
2018-03-05 07-PM,ETHUSD,860.01,864.46,854.54,855.91,633.61,544543.57
2018-03-05 06-PM,ETHUSD,856,862.35,852.55,860.01,586.32,503092.9
2018-03-05 05-PM,ETHUSD,857.85,857.85,853.86,856,307.63,263260.9
2018-03-05 04-PM,ETHUSD,857.22,860.07,855.37,857.85,291.51,249899.4
2018-03-05 03-PM,ETHUSD,859.1,861.87,855,857.22,562.0,481968.0
2018-03-05 02-PM,ETHUSD,864.35,864.53,858.37,859.1,579.19,498869.47
2018-03-05 01-PM,ETHUSD,864.8,866.86,862.23,864.35,50.2,43416.63
2018-03-05 12-PM,ETHUSD,863.12,869.21,863,864.8,787.45,683526.23
2018-03-05 11-AM,ETHUSD,864.31,866.63,862.42,863.12,142.68,123213.79
2018-03-05 10-AM,ETHUSD,863.29,864.31,859.83,864.31,124.27,107238.35
2018-03-05 09-AM,ETHUSD,859.83,863.6,859.56,863.29,368.98,317397.83
2018-03-05 08-AM,ETHUSD,863.97,867,857.87,859.83,336.24,290123.22
2018-03-05 07-AM,ETHUSD,865.87,867.56,861.5,863.97,188.77,163364.9
2018-03-05 06-AM,ETHUSD,864.31,867.49,862.21,865.87,662.98,574261.2
2018-03-05 05-AM,ETHUSD,865.26,866.09,861.19,864.31,262.62,226675.34
2018-03-05 04-AM,ETHUSD,865.5,868.59,861.41,865.26,345.68,299147.5
2018-03-05 03-AM,ETHUSD,865.81,866.93,861.43,865.5,402.89,348213.79
2018-03-05 02-AM,ETHUSD,863.83,865.81,862.52,865.81,164.84,142517.36
2018-03-05 01-AM,ETHUSD,863.72,864.19,861.19,863.83,177.57,153278.39
2018-03-05 12-AM,ETHUSD,862.28,864.11,859.66,863.72,314.23,270672.63
2018-03-04 11-PM,ETHUSD,861.14,864.11,857.04,862.28,307.78,264998.99
2018-03-04 10-PM,ETHUSD,860.72,863.43,856,861.14,412.09,353771.46
2018-03-04 09-PM,ETHUSD,863.87,866.43,860.23,860.72,342.38,295548.4
2018-03-04 08-PM,ETHUSD,861.99,866.36,860.94,863.87,82.62,71465.45
2018-03-04 07-PM,ETHUSD,862.05,866.29,861.21,861.99,111.52,96303.73
2018-03-04 06-PM,ETHUSD,859.35,865.34,859,862.05,249.65,215290.35
2018-03-04 05-PM,ETHUSD,856.83,861.13,856.03,859.35,155.16,133265.57
2018-03-04 04-PM,ETHUSD,855,860,855,856.83,274.33,235572.96
2018-03-04 03-PM,ETHUSD,850,855,848.16,855,229.56,195831.51
2018-03-04 02-PM,ETHUSD,853.25,853.8,849,850,109.31,93092.45
2018-03-04 01-PM,ETHUSD,852.68,854.41,850.66,853.25,38.35,32719.31
2018-03-04 12-PM,ETHUSD,847.98,854,847.55,852.68,72.42,61586.07
2018-03-04 11-AM,ETHUSD,843.26,848.57,842.5,847.98,48.61,41078.74
2018-03-04 10-AM,ETHUSD,849.37,849.37,842.59,843.26,54.18,45739.5
2018-03-04 09-AM,ETHUSD,847.17,850.14,845,849.37,30.51,25841.73
2018-03-04 08-AM,ETHUSD,840.28,847.17,838.56,847.17,244.16,205575.15
2018-03-04 07-AM,ETHUSD,841.39,842.32,837.17,840.28,333.86,280265.32
2018-03-04 06-AM,ETHUSD,844.5,846.04,841.01,841.39,238.16,200692.06
2018-03-04 05-AM,ETHUSD,844.48,844.78,843.64,844.5,312.48,263883.24
2018-03-04 04-AM,ETHUSD,843.8,847.62,843.3,844.48,1198.59,1011922.32
2018-03-04 03-AM,ETHUSD,850.51,850.55,843.62,843.8,167.71,141910.06
2018-03-04 02-AM,ETHUSD,853,853,848,850.51,100.53,85574.17
2018-03-04 01-AM,ETHUSD,852.2,853.99,852.2,853,217.77,185749.96
2018-03-04 12-AM,ETHUSD,853.76,854.82,852.2,852.2,56.21,47943.37
2018-03-03 11-PM,ETHUSD,854.83,856.3,852.81,853.76,72.65,62074.91
2018-03-03 10-PM,ETHUSD,853.05,856.3,850.84,854.83,102.03,87176.26
2018-03-03 09-PM,ETHUSD,850.81,854.74,849.28,853.05,237.99,202528.21
2018-03-03 08-PM,ETHUSD,858.5,860.55,849,850.81,986.52,839777.78
2018-03-03 07-PM,ETHUSD,860.23,861.1,856.42,858.5,105.81,90904.08
2018-03-03 06-PM,ETHUSD,862.74,862.74,857.58,860.23,117.98,101403.04
2018-03-03 05-PM,ETHUSD,861.44,863.45,859.21,862.74,54.66,47047.57
2018-03-03 04-PM,ETHUSD,860.38,862.89,859.46,861.44,142.28,122394.97
2018-03-03 03-PM,ETHUSD,859,863.6,858.27,860.38,376.19,324293.07
2018-03-03 02-PM,ETHUSD,865.34,865.34,858.85,859,849.17,729861.7
2018-03-03 01-PM,ETHUSD,865,867.56,864.92,865.34,129.96,112529.95
2018-03-03 12-PM,ETHUSD,862.18,868,862.14,865,150.02,129895.6
2018-03-03 11-AM,ETHUSD,862,865.98,861.72,862.18,48.47,41844.98
2018-03-03 10-AM,ETHUSD,863.38,864.5,859.74,862,77.0,66441.64
2018-03-03 09-AM,ETHUSD,863.96,864.84,859.1,863.38,251.6,217090.28
2018-03-03 08-AM,ETHUSD,858.29,864.88,856.54,863.96,190.24,163453.49
2018-03-03 07-AM,ETHUSD,862.41,864.17,858.29,858.29,148.63,127976.76
2018-03-03 06-AM,ETHUSD,861.42,868.7,860.04,862.41,365.35,315680.08
2018-03-03 05-AM,ETHUSD,861.2,864.51,858.47,861.42,134.17,115536.25
2018-03-03 04-AM,ETHUSD,861.93,865.06,860,861.2,53.07,45781.48
2018-03-03 03-AM,ETHUSD,863.79,866.92,859.67,861.93,245.58,211952.72
2018-03-03 02-AM,ETHUSD,864.62,867.87,861.09,863.79,313.51,271034.34
2018-03-03 01-AM,ETHUSD,857.69,867.07,857.69,864.62,310.56,268378.99
2018-03-03 12-AM,ETHUSD,856.08,859.08,855.22,857.69,137.3,117768.13
2018-03-02 11-PM,ETHUSD,857.24,861,852.3,856.08,132.31,113312.07
2018-03-02 10-PM,ETHUSD,854.98,859.5,854.98,857.24,115.66,99260.54
2018-03-02 09-PM,ETHUSD,856.53,858.58,852.81,854.98,567.52,485294.18
2018-03-02 08-PM,ETHUSD,851.42,858.86,849.31,856.53,164.12,140450.47
2018-03-02 07-PM,ETHUSD,854.93,856.11,847.93,851.42,887.45,754566.04
2018-03-02 06-PM,ETHUSD,856.88,857.49,852.03,854.93,216.43,184966.73
2018-03-02 05-PM,ETHUSD,853.98,858.38,853.68,856.88,371.41,318094.3
2018-03-02 04-PM,ETHUSD,853.51,855.8,851.33,853.98,185.79,158772.42
2018-03-02 03-PM,ETHUSD,852,855,850.3,853.51,455.62,388302.87
2018-03-02 02-PM,ETHUSD,860,861.96,850.88,852,587.0,501935.05
2018-03-02 01-PM,ETHUSD,862.74,866.36,860,860,161.56,139326.88
2018-03-02 12-PM,ETHUSD,860.5,863.85,858.24,862.74,135.28,116495.93
2018-03-02 11-AM,ETHUSD,860.39,860.52,858.05,860.5,176.88,151985.64
2018-03-02 10-AM,ETHUSD,861.58,863.77,858,860.39,192.22,165358.03
2018-03-02 09-AM,ETHUSD,870.8,871.36,860.34,861.58,471.59,407810.35
2018-03-02 08-AM,ETHUSD,870.89,872.54,868.12,870.8,492.98,428725.87
2018-03-02 07-AM,ETHUSD,870.88,872.37,866.13,870.89,582.23,505611.21
